,attributes_Accepts Credit Cards,attributes_Accepts Insurance,attributes_Ages Allowed,attributes_Alcohol,attributes_Ambience,attributes_Attire,attributes_BYOB,attributes_BYOB/Corkage,attributes_By Appointment Only,attributes_Caters,attributes_Coat Check,attributes_Corkage,attributes_Delivery,attributes_Dietary Restrictions,attributes_Dogs Allowed,attributes_Drive-Thru,attributes_Good For,attributes_Good For Dancing,attributes_Good For Groups,attributes_Good for Kids,attributes_Hair Types Specialized In,attributes_Happy Hour,attributes_Has TV,attributes_Music,attributes_Noise Level,attributes_Open 24 Hours,attributes_Order at Counter,attributes_Outdoor Seating,attributes_Parking,attributes_Price Range,attributes_Smoking,attributes_Take-out,attributes_Takes Reservations,attributes_Waiter Service,attributes_Wheelchair Accessible,attributes_Wi-Fi,business_id,categories,city,full_address,hours_Friday,hours_Monday,hours_Saturday,hours_Sunday,hours_Thursday,hours_Tuesday,hours_Wednesday,latitude,longitude,name,neighborhoods,open,review_count,stars,state,type
31537,,,,,,casual,,,,,,,,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,FALSE,TRUE,,,FALSE,,quiet,,,FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",2,,TRUE,,TRUE,TRUE,,FfCUl9Bqt3QrL0xtkPDQXg,"Pakistani,Indian,Restaurants",Edinburgh,"50 E Fountainbridge
Old Town
Edinburgh EH3 9BH","{u'close': u'23:00', u'open': u'17:00'}","{u'close': u'23:00', u'open': u'17:00'}","{u'close': u'23:00', u'open': u'17:00'}","{u'close': u'23:00', u'open': u'17:00'}","{u'close': u'23:00', u'open': u'17:00'}","{u'close': u'23:00', u'open': u'17:00'}","{u'close': u'23:00', u'open': u'17:00'}",55.9450317,-3.2047122,Love India,Old Town,FALSE,21,4,EDH,business
31539,TRUE,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,,FALSE,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",FALSE,TRUE,TRUE,,FALSE,TRUE,{},average,,,TRUE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",2,outdoor,FALSE,TRUE,TRUE,TRUE,no,Nq_BMV7kyx9_C3w0Jip6CA,"Pubs,Bars,Nightlife,British,Restaurants",Edinburgh,"30-34 Candlemaker Row
Old Town
Edinburgh EH1 2QE","{u'close': u'00:00', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'11:00'}","{u'close': u'00:00', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'12:30'}","{u'close': u'23:00', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'11:00'}",55.9468452,-3.1915004,Greyfriars Bobby's Bar,Old Town,TRUE,53,3.5,EDH,business
31541,TRUE,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,,FALSE,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'brunch': False, u'breakfast': False}",FALSE,TRUE,FALSE,,FALSE,TRUE,{},loud,,,FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",2,no,FALSE,TRUE,TRUE,TRUE,free,zpsDyx9wh7LYjtBLTpu_-w,"Pubs,Bars,Nightlife,British,Restaurants",Edinburgh,"1-5 W Register Street
New Town
Edinburgh EH2 2AA","{u'close': u'00:30', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'11:00'}","{u'close': u'00:30', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'12:30'}","{u'close': u'23:00', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'11:00'}",55.9536723,-3.190509,Guildford Arms,New Town,TRUE,44,4,EDH,business
31543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,#NAME?,"Pubs,Bars,Nightlife,Restaurants",Edinburgh,"126-128 George Street
New Town
Edinburgh EH2 4JN",,,,,,,,55.9519813,-3.2053672,Ivory Lounge,New Town,FALSE,4,4,EDH,business
31544,TRUE,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': True, u'upscale': False, u'casual': False}",casual,,,,FALSE,FALSE,,FALSE,,FALSE,FALSE,"{u'dessert': False, u'latenight': True, u'lunch': False, u'dinner': False, u'brunch': False, u'breakfast': False}",FALSE,TRUE,FALSE,,FALSE,FALSE,"{u'dj': False, u'background_music': True, u'jukebox': False, u'live': False, u'video': False, u'karaoke': False}",average,,,TRUE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",2,outdoor,FALSE,TRUE,TRUE,TRUE,free,QPsNlmETw14k-_RqX-RULw,"Bars,Pubs,Burgers,Cocktail Bars,Nightlife,Restaurants",Edinburgh,"54 George IV Bridge
Old Town
Old Town
Edinburgh EH1 1EJ","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:30'}","{u'close': u'01:00', u'open': u'12:30'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}",55.9479725,-3.1917893,Bar Kohl,Old Town,FALSE,64,4,EDH,business
31546,TRUE,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': True, u'upscale': False, u'casual': False}",casual,,,,,FALSE,,FALSE,,,FALSE,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",FALSE,TRUE,FALSE,,FALSE,FALSE,"{u'dj': False, u'background_music': True, u'karaoke': False, u'live': False, u'video': False, u'jukebox': False}",average,,,FALSE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",2,no,FALSE,TRUE,TRUE,TRUE,free,rkk2gLhqB3P5lwaGeBiDqQ,"Burgers,Bars,Nightlife,Restaurants",Edinburgh,"49 George IV Bridge
Old Town
Old Town
Edinburgh EH1 1EJ","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}",55.9479683,-3.1918097,Villager,Old Town,TRUE,54,4,EDH,business
31547,TRUE,,,none,,casual,,,,,,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,FALSE,FALSE,,,,,,,,FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",1,,TRUE,FALSE,FALSE,FALSE,,AYobEbZ5JZ3WuEQaQnRXvQ,"Food,Coffee & Tea,Fast Food,Sandwiches,Restaurants",Edinburgh,"8 Forrest Road
Old Town
Edinburgh EH1 2QN","{u'close': u'17:00', u'open': u'11:00'}","{u'close': u'17:00', u'open': u'11:00'}","{u'close': u'17:00', u'open': u'11:00'}",,"{u'close': u'17:00', u'open': u'11:00'}","{u'close': u'17:00', u'open': u'11:00'}","{u'close': u'17:00', u'open': u'11:00'}",55.9457861,-3.1911241,Uncle T's,Old Town,FALSE,4,5,EDH,business
31548,TRUE,,,beer_and_wine,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': True}",casual,,,,,,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'brunch': True, u'breakfast': True}",,TRUE,TRUE,,,FALSE,,quiet,,,FALSE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",3,,TRUE,TRUE,TRUE,TRUE,free,NLjG1EDhI2Aa71ZoLFqbQQ,"Delis,Italian,Restaurants",Edinburgh,"19 Elm Row
New Town
Edinburgh EH7 4AA","{u'close': u'18:00', u'open': u'08:00'}","{u'close': u'18:00', u'open': u'08:30'}","{u'close': u'18:00', u'open': u'08:00'}","{u'close': u'16:00', u'open': u'10:30'}","{u'close': u'18:00', u'open': u'08:30'}","{u'close': u'18:00', u'open': u'08:30'}","{u'close': u'18:00', u'open': u'08:30'}",55.9589243,-3.1832895,Valvona & Crolla,New Town,TRUE,57,4,EDH,business
31557,TRUE,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",dressy,,,,,,,TRUE,,FALSE,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,FALSE,,,TRUE,,quiet,,,TRUE,"{u'garage': False, u'street': False, u'lot': True, u'valet': False}",2,,FALSE,TRUE,,FALSE,free,Mpn6AsGRp_3q00Mzjt-pVA,"Hotels & Travel,Restaurants,Event Planning & Services,British,Hotels",Edinburgh,"34 Great King Street
New Town
Edinburgh EH3 6QH","{u'close': u'00:00', u'open': u'00:00'}","{u'close': u'00:00', u'open': u'00:00'}","{u'close': u'00:00', u'open': u'00:00'}","{u'close': u'00:00', u'open': u'00:00'}","{u'close': u'00:00', u'open': u'00:00'}","{u'close': u'00:00', u'open': u'00:00'}","{u'close': u'00:00', u'open': u'00:00'}",55.9578591,-3.1993316,The Howard,New Town,TRUE,7,4.5,EDH,business
31558,TRUE,,,beer_and_wine,"{u'romantic': False, u'intimate': False, u'classy': False, u'upscale': False, u'touristy': False, u'trendy': False, u'casual': False}",dressy,,,,,,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,FALSE,,,FALSE,,quiet,,,FALSE,,3,no,FALSE,TRUE,,FALSE,no,r3QvCj1tsgASA90GBU3eVg,"British,Restaurants",Edinburgh,"54 St Stephen Street
Stockbridge
Edinburgh EH3 5AL","{u'close': u'21:30', u'open': u'19:00'}",,"{u'close': u'21:30', u'open': u'19:00'}","{u'close': u'21:30', u'open': u'19:00'}","{u'close': u'21:30', u'open': u'19:00'}","{u'close': u'21:30', u'open': u'19:00'}","{u'close': u'21:30', u'open': u'19:00'}",55.9578567,-3.2068459,The Stockbridge Restaurant,"Stockbridge,New Town",TRUE,12,4,EDH,business
31559,,,,beer_and_wine,,casual,,,,,,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,FALSE,TRUE,,,,,,,,,"{u'garage': False, u'validated': False, u'street': False, u'lot': False, u'valet': False}",2,,FALSE,,,FALSE,no,nqZXFkRTH_vsGvOzRVWI8g,"Vegetarian,Restaurants",Edinburgh,"51-53 W Nicolson St
Newington
Edinburgh EH8 9DB","{u'close': u'21:00', u'open': u'12:00'}","{u'close': u'20:00', u'open': u'12:00'}","{u'close': u'21:00', u'open': u'12:00'}","{u'close': u'20:00', u'open': u'13:00'}","{u'close': u'21:00', u'open': u'12:00'}","{u'close': u'21:00', u'open': u'12:00'}","{u'close': u'21:00', u'open': u'12:00'}",55.9444983,-3.1856957,Susie's Wholefood Diner,Newington,FALSE,16,4,EDH,business
31560,TRUE,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': True}",casual,,,,FALSE,,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,TRUE,,,FALSE,,loud,,,FALSE,"{u'garage': False, u'street': False, u'lot': False, u'valet': False}",2,,TRUE,TRUE,TRUE,,no,u-JyVztsrx2f9sZKm5FvWQ,"American (Traditional),Restaurants",Edinburgh,"22-26 Castle Street
New Town
Edinburgh EH2 3HT","{u'close': u'23:30', u'open': u'12:00'}","{u'close': u'22:30', u'open': u'12:00'}",,"{u'close': u'23:00', u'open': u'12:00'}",,,,55.9518675,-3.2034169,TGI Fridays,New Town,TRUE,36,3.5,EDH,business
31562,TRUE,,,full_bar,,casual,,,,,,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,,,,,,,,,FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",3,,,TRUE,TRUE,,,#NAME?,"Vegetarian,Restaurants",Edinburgh,"57-61 Blackfriars Street
Newington
Edinburgh EH1 1NB","{u'close': u'01:00', u'open': u'17:00'}","{u'close': u'01:00', u'open': u'17:00'}","{u'close': u'01:00', u'open': u'17:00'}","{u'close': u'01:00', u'open': u'17:00'}","{u'close': u'01:00', u'open': u'17:00'}","{u'close': u'01:00', u'open': u'17:00'}","{u'close': u'01:00', u'open': u'17:00'}",55.949658,-3.1856137,Black Bo's Restaurant,"Newington,Old Town",FALSE,13,4.5,EDH,business
31566,,,,none,,casual,,,,,,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,TRUE,,,FALSE,,,,,FALSE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",2,,TRUE,TRUE,TRUE,TRUE,no,KSaSzOVyWSo4Ma0UkBd56A,"Restaurants,Brazilian",Edinburgh,"117-119 Buccleuch Street
Newington
Edinburgh EH8 9NG","{u'close': u'22:00', u'open': u'17:00'}","{u'close': u'22:00', u'open': u'17:00'}","{u'close': u'22:00', u'open': u'17:00'}",,"{u'close': u'22:00', u'open': u'17:00'}","{u'close': u'22:00', u'open': u'17:00'}","{u'close': u'22:00', u'open': u'17:00'}",55.9420022,-3.1837626,Brazilian Sensation,Newington,TRUE,11,4,EDH,business
31568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VekKmagfcsfq0UOeX_7RPg,"Food,Coffee & Tea,Fast Food,Restaurants",Edinburgh,"58 Bernard Street
Leith
Edinburgh EH6 6PR",,,,,,,,55.9762736,-3.1692985,Loaded Sandwich Bar,Leith,TRUE,4,4,EDH,business
31572,TRUE,,,beer_and_wine,,casual,,,,,,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,,,,,,,,,FALSE,"{u'garage': False, u'validated': False, u'street': False, u'lot': False, u'valet': False}",2,,FALSE,TRUE,TRUE,TRUE,no,UmOeVhicD3cTepEDC6p4jw,"British,Restaurants",Edinburgh,"41 West Nicolson Street
Newington
Edinburgh EH8 9DB","{u'close': u'22:00', u'open': u'06:00'}",,"{u'close': u'22:00', u'open': u'06:00'}",,"{u'close': u'22:00', u'open': u'06:00'}",,"{u'close': u'22:00', u'open': u'06:00'}",55.94462,-3.1854471,Home Bistro,Newington,FALSE,5,4,EDH,business
31575,TRUE,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,FALSE,,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",,FALSE,FALSE,,,FALSE,,quiet,,,FALSE,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",2,,FALSE,TRUE,TRUE,TRUE,no,WN2QUFWxIiTtUgW-oczrQg,"French,Restaurants",Edinburgh,"76 Thistle Street
New Town
New Town
Edinburgh EH2 1EN","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}",55.9537505,-3.2003325,Café Marlayne,New Town,TRUE,30,4.5,EDH,business
31577,TRUE,,,full_bar,,casual,,,,,,,,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,TRUE,TRUE,,,,,,,,FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",2,,,TRUE,TRUE,TRUE,,3JPBGbZ8cUreQqdEZmMqvQ,"Restaurants,Italian",Edinburgh,"95 Lothian Road
Old Town
Edinburgh EH3 9AW",,,,,,,,55.9464923,-3.205476,Lazio,Old Town,FALSE,6,4.5,EDH,business
31578,TRUE,,,beer_and_wine,"{u'romantic': False, u'intimate': False, u'classy': False, u'upscale': False, u'touristy': False, u'trendy': False, u'casual': False}",casual,,,,,,,FALSE,,,,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'brunch': False, u'breakfast': False}",FALSE,TRUE,TRUE,,FALSE,FALSE,,average,,,FALSE,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",2,,FALSE,TRUE,TRUE,TRUE,no,IImme8H_HNUNNbPeTQwT_Q,"Wine Bars,Bars,Nightlife,French,Restaurants",Edinburgh,"31 Jeffrey Street
Old Town
Edinburgh EH1 1DH","{u'close': u'22:00', u'open': u'18:00'}","{u'close': u'22:00', u'open': u'18:00'}","{u'close': u'22:00', u'open': u'18:00'}","{u'close': u'22:00', u'open': u'18:00'}","{u'close': u'22:00', u'open': u'18:00'}","{u'close': u'22:00', u'open': u'18:00'}","{u'close': u'22:00', u'open': u'18:00'}",55.95119504,-3.185411085,La Garrigue,"Old Town,Royal Mile",TRUE,21,4,EDH,business
