,name,address,zip,minrate,maxrate,longitude,latitude,desc_en
2988,St Giles Apartments,"375 High Street, The Royal Mile",EH1 1PW,69,900,-3.191618174,55.94969242,"Located on Edinburgh’s Royal Mile and Old Town, these luxury, 4-star apartments feature stylish interiors with spacious lounge areas. Edinburgh Castle is less than 10 minutes’ walk away."
3189,Dalmahoy Marriott Hotel & Country Club,Kirknewton,EH27 8EB,74,280,-3.369537145,55.90353792,"Set amongst 1,000 acres of beautiful parkland with two 18-hole golf courses, this elegant country hotel offers luxurious spa and leisure facilities and an award-winning restaurant."
4108,Fraser Suites Edinburgh,12-26 St Giles Street,EH1 1PT,89.1,525,-3.191999048,55.95003259,"Just off the Royal Mile and near Edinburgh Castle, this boutique hotel boasts luxurious rooms, a gym and a restaurant. There are superb views across Princes Street Gardens. Free WiFi is also available."
4199,Hilton Edinburgh Airport,Eastfield Road,EH28 8LL,99,9999,-3.360067606,55.94369668,"This Hilton hotel provides an express 24-hour shuttle bus to Edinburgh Airport, which is just 2 minutes’ away. It boasts an indoor pool, sauna and gym and a fine restaurant."
4534,Ardmillan Hotel,9-10 Ardmillan Terrace,EH11 2JW,27,130,-3.226211965,55.93835199,"In Edinburgh’s West End, this family-run guest house offers free Wi-Fi, free parking and a traditional restaurant. The Ardmillan Hotel is a 20-minute walk from the Murrayfield Stadium."
4617,Allison House,17 Mayfield Gardens,EH9 2AX,56,150,-3.173493147,55.93319888,"This Georgian building is now a family-run guest house with easy access to Edinburgh city centre by bus. It offers free Wi-Fi, free parking and en suite rooms with flat-screen TVs.  Allison House is 2."
4837,Corstorphine Lodge Hotel,188 St John's Rd,EH12 8SG,49,309,-3.289715946,55.94329262,"A charming stone-built Victorian villa dating back to the 1880s, Corstorphine Lodge Hotel is located on the A8, which links Edinburgh Airport to the city centre. Guests can enjoy free WiFi in all rooms."
5182,Victoria Park Hotel,221 Ferry Road,EH6 4NN,64,240,-3.191606104,55.97344099,"Centrally located within Edinburgh’s fashionable Leith area just 1.5 miles from Princes Street, this family-run hotel offers contemporary rooms, an acclaimed restaurant and free parking."
5400,The Rutland Hotel,1-3 Rutland Steet,EH12AE,100,405,-3.2079193,55.94998978,"The glamorous Rutland Hotel has stylish rooms, a luxurious late-lounge, and a unique restaurant with a glass wine cellar. It is situated on the West End of Princes Street, with views of Edinburgh Castle."
5707,Highfield Guest House,83 Mayfield Road,EH9 3AE,55,180,-3.175345212,55.9295928,"Offering a friendly welcome, delicious breakfasts and free Wi-Fi, Highfield is near Edinburgh University and less than one mile (1.6 km) from the city centre, with good bus access."
6812,Thistle Hotel,59 Manor Place,EH3 7EG,73.8,270,-3.217182308,55.95010242,"This historic Georgian building is on a quiet street in Edinburgh’s New Town, 700 metres from Haymarket Rail Station. It has large en suite rooms and a traditional Scottish-style bar. Free WiFi is available throughout the property."
6944,The Ben Doran Guest House,"11 Mayfield Gardens, Newington",EH9 2AX,61.2,206.8,-3.17373991,55.93347383,"In central Edinburgh, this 4-star Georgian town house offers free Wi-Fi and free parking. The local bus service allows easy access to Edinburgh city centre.  All of the charming rooms at The Ben Doran Guest House have a TV and elegant décor."
7074,Alexander Guest House,"35, Mayfield Gardens",EH9 2BX,35,150,-3.171878457,55.93175349,"Alexander Guest House is a friendly B&B with good breakfasts, clean rooms and excellent bus access to Edinburgh city centre. Arthur’s Seat provides a beautiful backdrop.  At Alexander there is limited free parking and free internet access."
7468,Ashdene House,23 Fountainhall Road,EH9 2LN,65,139,-3.180271089,55.93216067,"Just 10 minutes’ drive from lively Princes Street, Ashdene House offers cosy rooms and cooked breakfasts. With free street parking, the family-run guest house is just a mile south of Edinburgh Castle."
8640,Jurys Inn Edinburgh,43 Jeffrey Street,EH1 1DH,53.1,449.02,-3.185686469,55.951216,"In the heart of Edinburgh's Old Town, right beside the Royal Mile and less than a 5-minute walk from Waverly Train Station, Jurys Inn Edinburgh has a 24-hour reception."
9499,Fountain Court Apartments - Royal Garden,"2 York Buildings, Queen Street",EH2 1HY,89.1,545,-3.193384409,55.95586143,"Just 5 minutes’ walk from Princes Street’s shops and beautiful gardens, Fountain Court Apartments - Royal Garden offers spacious, modern apartments."
11177,Aynetree Guest House,"12 Duddingston Crescent, Milton Road",EH15 3AS,54.88,197.55,-3.11268948,55.94385439,"With free private parking, the Aynetree Guest House is on a main bus route, with excellent direct access to Edinburgh city centre."
11748,ibis Edinburgh Centre Royal Mile,6 Hunters Square (Off The Royal Mile),EH1 1QW,69,280,-3.188041449,55.94964437,"In the heart of historic Edinburgh, ibis Edinburgh Centre Royal Mile is situated just off the historic Royal Mile. The stylish hotel has a lively bar and spacious rooms with internet access."
11934,York House B&B,"27 York PLace, Edinburgh",EH13HP,36,157,-3.190309256,55.95611369,"In Edinburgh’s centre, this Georgian town house is just 5 minutes’ walk from Prince’s Street. It provides full English breakfasts and bright rooms provide free Wi-Fi."
11984,Edinburgh Marriott Hotel,111 Glasgow Road,EH12 8NF,71,250,-3.312399387,55.94009458,"Located 5 minutes' drive from Edinburgh Airport, the Marriott Hotel has a 15-metre pool, a gym, free Wi-Fi in public areas, and free private parking. The hotel also serves Starbucks® Coffee in the bar - both to stay in or to go."
13150,The Guards Hotel,1 Clifton Terrace,EH12 5DR,50,280,-3.217070997,55.94628914,"Guards Hotel is a small family-run hotel opposite Haymarket Railway Station in the West End and close to the EICC. Princes Street is a 10-minute walk away.  The hotel is warm, welcoming and has a military theme."
13160,Brooks Hotel,"70 Grove Street, Fountainbridge",EH3 8AP,57,155,-3.211344481,55.94324606,"This refurbished boutique hotel is set in the West End of the city, only 0.6 miles from Edinburgh Castle. Brooks Hotel offers a 24-hour front desk, free Wi-Fi and laundry facilities."
14043,"The Howard, and Ascend Hotel Collection Member Edinburgh",34 Great King Street,EH3 6QH,90,400,-3.198771626,55.95806194,"Small and discreet, this elegant 5-star hotel has a great setting in Edinburgh’s New Town.  With a personal butler service, there is also fine dining and free internet.  The Howard is made up of 3 beautiful Georgian houses with luxurious rooms."
14246,Nicolson Apartments,28 West Nicolson Street,EH8 9DD,65,675,-3.185033351,55.94464146,"Having recently undergone a redecoration, these stylish apartments are 900 metres from Edinburgh Waverley Rail Station and the city centre. Each modern apartment has cable TV, a DVD player, a washing machine."
14516,Browns Bed and Breakfast,5 Mcdonald Road,EH7 4LX,95,110,-3.18107307,55.9616481,"Within walking distance of the city centre, Princes Street and the Royal Mile, this guest house offers comfortable accommodation with free wireless broadband internet access."
14680,Hilton Edinburgh Grosvenor,Grosvenor Street,EH12 5EF,54,9999,-3.217076361,55.94693798,"In Edinburgh’s West End, this impressive 4-star hotel is 0.5 miles from the lively city centre.  Stylish rooms, a restaurant and a chic bar are all just a 2-minute walk from Haymarket Rail Station."
15246,The Bonham,35 Drumsheugh Gardens,EH3 7RN,79,240,-3.215864003,55.95134139,"In Edinburgh's West End, The Bonham has a chic restaurant and stylish bedrooms, many of which have city views.  Guests can enjoy a drink in the Consulting Room bar and makes use of free internet access."
15375,BEST WESTERN Braid Hills Hotel,134 Braid Road,EH10 6JD,48.6,235,-3.212744594,55.91716278,"Panoramic Edinburgh views and free parking are provided at this 19th-century hotel. Edinburgh’s centre is 10 minutes’ drive away, and guests can enjoy hearty breakfasts and free Wi-Fi."
15554,Hot-el-Apartments Canon Court,20 Canonmills,EH3 5LH,63,292,-3.199236989,55.96286418,"These serviced apartments are less than a mile from Edinburgh city centre. On-site parking is available and each apartment has free Wi-Fi, a 32-inch flat-screen TV, and a fully equipped kitchen."
16996,The Carlton - Edinburgh,19 North Bridge,EH1 1SD,71.1,564,-3.18765521,55.9507527,"Overlooking The Royal Mile, the grand Carlton Hotel Edinburgh has a stylish cocktail bar and modern brasserie. Lively Princes Street is just 300 metres away and Waverley Rail Station is directly adjacent to the hotel."
17623,Novotel Edinburgh Park,15 Lochside Avenue,EH12 9DJ,59,225,-3.31099391,55.92641917,"This 4-star Novotel is 200 metres from Edinburgh Park Rail Station and a 12-minute train ride from the city centre. It has modern rooms and a heated indoor swimming pool. Located just off the tram line itself, trams are available every 8 minutes."
18898,The St Valery,36 Coates Gardens,EH12 5LE,45,220,-3.221461773,55.94743437,"This West End guest house with free Wi-Fi is walking distance from Princes Street, Edinburgh Castle and Royal Mile. It has comfortable rooms with flat-screen TVs."
19010,Royal Mile Accommodation,Old Tolbooth Wynd,EH8 8EQ,95,500,-3.180865198,55.95256306,"These stylish apartments are in the city centre, 800 metres from Edinburgh Waverley Rail Station. The modern apartments have free parking and flat-screen TVs with Freeview channels and DVD players."
19077,The Original Raj Hotel,6 West Coates,EH12 5JG,45,199,-3.23001802,55.94575144,"In the smart Murrayfield area of Edinburgh, The Original Raj is an Indian-themed B&B about 1 mile (1.6 km) west of the city centre, near Murrayfield Stadium and Haymarket Station.  Scottish National Gallery of Modern Art is a short walk away."
19121,Counan Guest House,47 Minto Street,EH9 2BR,65,260,-3.177427948,55.93659881,"Situated in South Edinburgh, the family-friendly Counan Guest House offers free private parking. It is just a 5-minute drive from central Edinburgh. Home to Arthur’s Seat, the popular Holyrood Park is 15 minutes’ walk away."
19786,Bellevue Guest House,40 Minto Street,EH9 2BR,52.75,100,-3.176856637,55.93602341,This elegant 18th-century Georgian town house is walking distance from Holyrood Park and offers free car parking and homemade meals on request.
20187,Holyrood Aparthotel,1 Nether Bakehouse,EH8 8PE,62.1,400,-3.178456575,55.95104554,"Just off Edinburgh’s Royal Mile in the city centre, Holyrood Aparthotel features 2-bedroom apartments and an on-site gym. Each spacious lounge features a large-screen LCD TV, stereo and DVD player."
20918,Princes Street Suites,16 Waterloo Place,EH1 3EG,80.1,759,-3.186751306,55.95357895,"With stylish décor and free Wi-Fi available throughout, the 4-star Princes Street Suites overlook Edinburgh Castle. The suites are just 200 metres from Edinburgh Waverley Rail Station."
21219,A-Haven Townhouse Hotel,180 Ferry Road,EH6 4NS,42,130,-3.18888098,55.97404135,"This traditional Victorian town house offers free secure parking, free Wi-Fi, full Scottish breakfasts and good-value en suite rooms. It has easy access to Edinburgh city centre by bus.  The A-Haven Townhouse Hotel has a quiet location and is 3."
21655,The Knight Residence by Mansley Serviced Apartments,12 Lauriston Street,EH3 9DJ,91,489,-3.201677799,55.94544503,"Just 5 minutes' walk from the Grassmarket’s bars and restaurants, The Knight Residence apartments are located 0.5 miles from Edinburgh Castle. A welcome basket is provided, which includes a selection of tea, coffee, milk and washing-up liquid."
22944,Lochend Serviced Apartments,149/1 Lochend Road,EH7 6ET,53,300,-3.159961402,55.96325603,"These stylish apartments with free WiFi are about 1 mile from Edinburgh's Princes Street, Waverley Train Station and The Royal Yacht Britannia. Hibernian football ground is a 5-minute walk away."
23196,Sheraton Grand Hotel & Spa,1 Festival Square,EH3 9SR,120,465,-3.207170963,55.94718129,"Overlooking Edinburgh Castle, the Sheraton Grand Hotel is just 200 metres from Lyceum Theatre Royal. It boasts luxurious elegant rooms, spa, modern gym and a 19 metres swimming pool. Free WiFi is available throughout."
23967,"Radisson Blu Hotel, Edinburgh",The Royal Mile,EH1 1TH,105,354,-3.187000752,55.95010092,"On the historic Royal Mile, Radisson Blu Hotel Edinburgh features a modern fitness centre, stylish bar and luxury bedrooms with free Wi-Fi. Waverley Station is just a 5-minute walk away."
24370,Stay Central Hotel,139 Cowgate,EH1 1JS,65,290,-3.190366924,55.94834827,"Stay Central Hotel is just a 3-minute walk from the historic Royal Mile. In the Cowgate, this lively budget hotel is in Edinburgh's Old Town, within half a mile of Princes Street."
25111,"Channings Hotel, an Ascend Hotel Collection Member Edinburgh",15 South Learmonth Gardens,EH4 1EZ,58,400,-3.218909651,55.95629163,"Overlooking private gardens, Channings is a friendly 4-star hotel with free Wi-Fi and a wine bar. Princes Street is a 10-minute walk away.  Each elegant room at Channings is individually decorated, with antique furniture."
25214,Edinburgh Capital Hotel,187 Clermiston Rd,EH12 6UG,54,300,-3.279433697,55.9557368,"This 3-star hotel offers free Wi-Fi, free parking and a 17-metre indoor heated pool. It has a quiet location, less than 5 miles from both Edinburgh Airport and the city centre.  Edinburgh Capital Hotel is close to the A90."
25894,Ten Hill Place Hotel,10 Hill Place,EH8 9DS,59,250,-3.183664083,55.94641155,"Just 0.5 miles from Edinburgh Waverley Rail Station, this 4-star modern hotel is owned by the Royal College of Surgeons of Edinburgh and offers free Wi-Fi."
25920,Murrayfield Hotel,18 Corstorphine Rd,EH12 6HN,49,290,-3.243573904,55.94548859,"Situated by Murrayfield Stadium, home of the Scottish Rugby Union, Murrayfield Hotel offers guest accommodation with free Wi-Fi, free parking, a pub, and a restaurant."
26035,Castle View Guest House,30 Castle Street,EH2 3HT,49,349,-3.203533888,55.95207725,"In the heart of Edinburgh’s New Town, Castle View Guest House is less than 100 metres from Princes Street. It has lovely views of Edinburgh Castle and offers free Wi-Fi and hearty breakfasts."
26119,The Broughton Hotel - B&B,37 Broughton Place,EH1 3RR,63,140,-3.187234104,55.95889151,"In the heart of Edinburgh's city centre, this Georgian town house hotel offers free Wi-Fi and free parking. Waverley Rail Station, the tram stop to the airport and the shops of Princes Street are only 0.5 miles’ walk away."
26174,Murrayfield Park Guest House,89 Corstorphine Road,EH12 5QE,32,300,-3.247972727,55.94490131,"Less than 2 miles from Edinburgh’s centre, this small guest house is 5 minutes’ walk from Murrayfield Stadium.  It has free parking, and free Wi-Fi in most rooms and at reception."
26350,Apartments Royal,**Various Locations**,EH1 1QS,150,300,-3.188737482,55.94980431,"These Edinburgh apartments offer space and comfort within walking distance of Princes Street. Each has free internet, a full kitchen and dining/lounge area with flat-screen TV."
26876,Dreamhouse Apartments Edinburgh Holyrood Park,"The Park, 89 Holyrood Road",EH8 8BA,99,320,-3.176655471,55.95108534,"Beside Holyrood Park, these city-centre apartments have free Wi-Fi and free parking. They are stylish, modern and close to Scottish Parliament and the Palace of Holyrood house."
28395,Duthus Lodge,5 West Coates,EH12 5JG,95,200,-3.229693472,55.94594294,"Overlooking gardens, this Victorian house is just a mile (1.6 km) from the centre of Edinburgh. There is free Wi-Fi and free parking.  Originally built in 1860 and retaining many original features, Duthus Lodge is now a family-run guest house."
28640,Ramsay's Bed & Breakfast,25 East London Street,EH7 4BN,55,160,-3.189924359,55.95935095,"In Edinburgh's New Town, Ramsay's Bed & Breakfast offers superb accommodation with free Wi-Fi. Princes Street and Waverley Railway Station are each just a 10-minute walk from this spacious town house."
29141,Auld Reekie Apartments,**Various Locations**,EH1 1SX,105,349,-3.183130324,55.9496325,"With free Wi-Fi throughout, these impressive self-catering apartments are located across Edinburgh, with some in the Old Town or within 0.5 miles of the historic Royal Mile."
29284,Ardenlee Guest House,9 Eyre Place,EH3 5ES,30,200,-3.200241476,55.9608231,"Built in 1871 and in Edinburgh’s New Town, Ardenlee is an elegant Victorian town house just half a mile from the shops of Princes Street and featuring free Wi-Fi in public areas."
29347,The Parliament House Hotel,15 Calton Hill,EH1 3BJ,65,210,-3.185960054,55.95419839,"This beautifully restored 3-star hotel is in Edinburgh city centre, just 300 metres from Edinburgh Waverley Railway Station and Princes Street. Rooms each have a private bathroom and free Wi-Fi."
29349,The Thistle House,1 Kilmaurs Terrace,EH16 5BZ,35,200,-3.166666925,55.93444591,"Offering free WiFi, this Victorian B&B is located 1.5 miles from historic Edinburgh’s centre. Rooms feature en suite bathrooms."
29466,Fraoch House,66 Pilrig Street,EH6 5AS,50,130,-3.180690855,55.96567304,"This stylish guest house is 2.4 km from Princes Street, with easy access by bus. It has free Wi-Fi, free parking and modern rooms with digital flat-screen TVs with DVD players.  Fraoch House is just over 1.6 km from Edinburgh Waverley Rail Station."
29719,The Dunstane,4 West Coates/5 Hampton Terrace,EH12 5JQ,74,468,-3.229124844,55.94582503,"Offering stylish bedrooms, The Dunstane is set over 2 Victorian properties facing each other. The property is located within 500 metres of Haymarket Railway Station and 15 minutes’ walk from central Edinburgh. It offers free WiFi and free parking."
30031,Ballantrae Hotel,8 York Place,EH1 3EP,50,400,-3.192405403,55.95606714,"In the heart of Edinburgh city centre, the historical Ballantrae is an elegant Georgian hotel offering guest rooms with free Wi-Fi. The shops of Princes Street and George Street are just a few minutes’ walk away."
30493,Albany Ballantrae Hotel,39-47 Albany Street,EH1 3QY,53,499,-3.190160394,55.95725788,"Newly refurbished, The Albany Ballantrae Hotel is located in the heart of Edinburgh, just a 10-minute walk from Princes Street. This 4-star hotel has free Wi-Fi and stylish rooms with private bathrooms."
31642,The Inn on the Mile,"82 High Street, Royal Mile",EH1 1LL,109.2,257,-3.187256902,55.95014522,"Situated on the Royal Mile in Edinburgh city centre, The Inn on the Mile offers an alternative luxury hotel experience of staying in one of Edinburgh's most prestigious historic landmarks."
31738,Edinburgh Lodge West End,"6 Hampton terrace, West Coates",EH12 5JD,39,225,-3.229116797,55.94559824,"Just a short walk from Murrayfield Stadium and Edinburgh Zoo, The Edinburgh Lodge offers free private parking and a peaceful garden, with 4 AA stars and a 5 Diamond Award."
32022,Hot-el-apartments Edinburgh Waterfront,9 Western Harbour Breakwater,EH6 6PZ,64.5,503.99,-3.189605176,55.98698127,"Hot-el-apartments Edinburgh Waterfront offers modern, 4-star accommodation overlooking the beautiful River Forth. Edinburgh centre is just 2.5 miles away."
32100,Regent House Hotel - B&B,3-5 Forth Street,EH1 3JX,49,279,-3.188218474,55.95758821,"On a quiet, cobbled street just a 5-minute walk from Princes Street, the family-run Regent House Hotel is set in a restored Georgian building. It offers free WiFi and is less than 10 minutes’ walk from Edinburgh Waverley Rail Station."
32180,The Cameron B&B,5 Cameron Terrace,EH16 5LD,70,140,-3.160414696,55.92964389,"In Edinburgh’s stylish Newington area, this family-run bed and breakfast offers free Wi-Fi and free parking.  A good bus service to the city centre is available.  All double en suite rooms are spacious and have an LCD TV."
32549,Kew House and Apartments,1 Kew Terrace,EH12 5JE,92,242,-3.229961693,55.94554717,"Walking distance from Murrayfield Stadium and Edinburgh Zoo, this 5-star Edinburgh guest house with free Wi-Fi and free parking is within easy reach of the city centre and EICC.  The city centre is a 5-minute bus ride or 15-minute walk away."
32848,Eyre Guest House,5 Eyre Place,EH3 5ES,40,165,-3.200480193,55.96082835,"In Edinburgh’s New Town area, 19th-century Eyre Guest House offers elegant town house accommodation and free WiFi in public areas. Princes Street is 15 minutes’ walking distance."
32867,Apex Waterloo Place Hotel,23-27 Waterloo Place,EH1 3BH,99,305,-3.186512589,55.95390331,"With a stylish swimming pool and Scottish restaurant, the luxury 4-star Apex Waterloo Place Hotel offers sumptuous rooms with free Wi-Fi. The hotel is in Edinburgh’s Old Town, at the end of Princes Street."
33882,Edinburgh House Hotel - B&B,90-92 Pilrig Street,EH6 5AY,32,199,-3.181722164,55.96661128,"Less than 1.5 miles from Edinburgh Waverley Rail Station and the city centre, Edinburgh House Hotel has en suite rooms and free on-street parking.  The hotel is in a quiet location, just off Leith Walk, a main route into central Edinburgh."
35118,Ashgrove House Hotel,12 Osborne Terrace (West Coates),EH12 5HG,40,150,-3.225965202,55.9456493,"This Victorian building is on the A8 into the city centre, 500 metres from Edinburgh Haymarket Rail Station. It offers free parking, free Wi-Fi and traditionally decorated rooms."
35210,Granville Guesthouse,13 Granville Terrace,EH10 4PQ,50,160,-3.215929717,55.93808985,"A 5-minute bus ride from Princes Street, the family-run Granville Guesthouse has free Wi-Fi, some free parking and warm, comfortable rooms. It is 2.4 km from Edinburgh city centre."
35252,Edinburgh Playhouse Apartments,Hopetoun Street,EH7 4AU,86,500,-3.185949326,55.96211953,"These stylish luxury apartments are in the city centre, a mile (1.6 km) from Edinburgh Waverley Rail Station and Princes Street. Each large, modern apartment has free Wi-Fi and parking."
35500,The Balmoral Hotel,1 Princes Street,EH2 2EQ,189,755,-3.189650774,55.95316148,"Located on Princes Street, The Balmoral has a Michelin-starred restaurant, a pool and a gym. Waverley Station and Edinburgh's main shopping area are within 5 minutes' walk."
36439,MW Townhouse,11 Spence Street,EH16 5AG,67,199,-3.170306683,55.93607224,"This boutique-style town house has good-value rooms, a private garden, free Wi-Fi and home cooked breakfasts. It is near Edinburgh University and a good bus service to the city centre."
37643,"G&V Royal Mile Hotel, Edinburgh",1 George IV Bridge,EH1 1AD,150,429,-3.192708492,55.94905565,"The G&V Royal Mile Hotel Edinburgh offers boutique bedrooms, iconic design and a stylish cocktail bar, along with a spa. It is situated on The Royal Mile, in the heart of Edinburgh’s historic centre."
37807,Fountain Court Apartments - Grove Executive,121 Grove Street,EH3 8AA,85.5,499,-3.211259991,55.94353896,"Just 700 metres from Haymarket Rail Station, and less than a 15-minute walk from Princes Street’s shops, is the Fountain Court Apartments. An iPod docking station, flat-screen TV and DVD player are included in all apartments."
37880,Best Western Plus Bruntsfield Hotel,69-74 Bruntsfield Place,EH10 4HH,70,259,-3.205915689,55.93804403,"Overlooking Bruntsfield Links Park, this classic yet contemporary hotel offers bright rooms with free Wi-Fi and free parking. Edinburgh city centre is a 15-minute walk or a 5-minute bus ride away."
38169,The Edinburgh Residence,7 Rothesay Terrace,EH3 7RY,109,285,-3.217400908,55.95088485,"These luxury 5-star suites in Edinburgh's West End are walking distance from the Scott Monument, EICC and the Scottish National Gallery of Modern Art. A full Scottish breakfast is served each morning."
38312,The Inverleith Hotel & Apartments,5 Inverleith Terrace,EH3 5NS,49.45,247.5,-3.202619255,55.96402919,"A 15-minute walk from Edinburgh’s lively centre and castle, Inverleith Hotel has elegant rooms with free Wi-Fi. Set in a grand Victorian house, it offers period features and cooked breakfasts."
38492,Fountain Court Apartments - Harris,41-47 Grove Street,EH3 8AF,85.5,339,-3.212283254,55.94510108,"On a quiet street in Edinburgh’s West End, these luxury 4-star apartments offer free Wi-Fi. Princes Street and Edinburgh Castle are within walking distance."
38780,Featherhall Garden Court Apartments,9 Featherhall Avenue,EH12 7TG,89,225,-3.287704289,55.94279018,"These new, modern apartments are between Edinburgh Airport and the city centre, with easy access by bus. They offer good-value accommodation with free Wi-Fi and parking.  Featherhall Garden Court is a newly built block of apartments about 5."
40470,Gifford House,103 Dalkeith Road,EH16 5AJ,65,260,-3.169717938,55.93609553,The friendly and welcoming Gifford House has free parking and is about 1.25 miles south of Princes Street and on a main bus route to Edinburgh city centre.
41683,The Northfield House Hotel,115 Lasswade Road,EH16 6UD,48,90,-3.153186142,55.90738096,"Northfield House has light en suite rooms, a beer garden, free Wi-Fi and free parking. It is 5 minutes' drive from the Edinburgh City Bypass and has easy access to the city centre by bus.  The Northfield House Hotel has a quiet location, 5."
41881,The George Hotel,19-21 George St,EH2 2PB,94.05,1194,-3.19634825,55.95415334,"Boasting an enviable location in the Edinburgh city centre, the historic and chic George Hotel is close to Edinburgh Castle, Princes Street Gardens and Holyrood Palace. It has elegant rooms, conference and meeting rooms."
42027,Le Monde Hotel,16 George Street,EH2 2PF,115,445,-3.196007609,55.95350086,"Unique and very chic, Le Monde is just 100 metres from Princes Street and Edinburgh Waverley Station. It has luxury themed rooms, 2 restaurants, 3 bars and a lively night club."
42441,Cumberland Hotel,1 West Coates,EH12 5JQ,39,309,-3.227920532,55.94586859,"In Edinburgh’s West End, the Cumberland is in attractive grounds and offers secure free parking. Princes Street is within easy reach and Edinburgh Airport is a 10-minute drive away."
42822,The Salisbury Hotel,43-45 Salisbury Road,EH16 5AA,52.5,300,-3.176955879,55.93765944,"This 4-star townhouse hotel is located within the quiet residential area of Newington, just 1 mile from Edinburgh’s historic Royal Mile and vibrant city centre."
43007,Macdonald Holyrood Hotel,81 Holyrood Rd,EH8 8AU,77,640.01,-3.17696929,55.95084881,"Just metres from Holyrood Park, Macdonald Holyrood Hotel features an award-winning restaurant and luxury spa. With Edinburgh Castle just a mile away, guests have free internet and large rooms."
44291,Royal Overseas League Hotel,100 Princes St,EH2 3AB,50,190,-3.20007652,55.95158468,"Situated in the heart of Princes Street, directly opposite Edinburgh Castle, Royal Overseas League Hotel offers free Wi-Fi, a stylish brasserie and stunning city views."
44495,Edinburgh Thistle Guest House,10 East Hermitage Place,EH6 8AA,18,140,-3.162545711,55.96944388,"In an elegant Victorian terrace, Edinburgh Thistle Guest House offers free Wi-Fi, continental breakfasts and views over Claremont Park. The charming property is a 10-minute drive from Edinburgh centre."
44748,Mercure Edinburgh City - Princes Street Hotel,53 Princes Street,EH2 2DG,59.5,270.6,-3.194398284,55.95259084,"On Princes Street, opposite the Scott Monument and National Gallery, Mercure Edinburgh City - Princes Street Hotel has an excellent location, a friendly atmosphere and views of Edinburgh Castle. There is free high-speed Wi-Fi throughout."
45063,Castle Park Guest House,75 Gilmore Place,EH3 9NU,40,,-3.209193349,55.94090275,"A family-run property set in a Victorian house, Castle Park Guest House is located 0.4 miles from the Bruntsfield Links Park and 1 mile from The National Museum of Scotland. Free Wi-Fi is available throughout."
45511,BEST WESTERN Kings Manor,100 Milton Road East,EH15 2NP,34,999,-3.096162379,55.94453031,"This family-run hotel in Edinburgh offers free Wi-Fi, a 20-metre swimming pool and a gym. Portobello Beach is just 10 minutes’ walk from the building. The railway station is 5 minutes' walk from the hotel."
