,attributes_Accepts Credit Cards,attributes_Accepts Insurance,attributes_Ages Allowed,attributes_Alcohol,attributes_Ambience,attributes_Attire,attributes_BYOB,attributes_BYOB/Corkage,attributes_By Appointment Only,attributes_Caters,attributes_Coat Check,attributes_Corkage,attributes_Delivery,attributes_Dietary Restrictions,attributes_Dogs Allowed,attributes_Drive-Thru,attributes_Good For,attributes_Good For Dancing,attributes_Good For Groups,attributes_Good for Kids,attributes_Hair Types Specialized In,attributes_Happy Hour,attributes_Has TV,attributes_Music,attributes_Noise Level,attributes_Open 24 Hours,attributes_Order at Counter,attributes_Outdoor Seating,attributes_Parking,attributes_Price Range,attributes_Smoking,attributes_Take-out,attributes_Takes Reservations,attributes_Waiter Service,attributes_Wheelchair Accessible,attributes_Wi-Fi,business_id,categories,city,full_address,hours_Friday,hours_Monday,hours_Saturday,hours_Sunday,hours_Thursday,hours_Tuesday,hours_Wednesday,latitude,longitude,name,neighborhoods,open,review_count,stars,state,type,cusine,zip
31537,,,,,,casual,,,,,,,,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,False,True,,,False,,quiet,,,False,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",2.0,,True,,True,True,,FfCUl9Bqt3QrL0xtkPDQXg,"Pakistani,Indian,Restaurants",Edinburgh,"50 E Fountainbridge
Old Town
Edinburgh EH3 9BH","{u'close': u'23:00', u'open': u'17:00'}","{u'close': u'23:00', u'open': u'17:00'}","{u'close': u'23:00', u'open': u'17:00'}","{u'close': u'23:00', u'open': u'17:00'}","{u'close': u'23:00', u'open': u'17:00'}","{u'close': u'23:00', u'open': u'17:00'}","{u'close': u'23:00', u'open': u'17:00'}",55.9450317,-3.2047122,Love India,Old Town,False,21,4.0,EDH,business,Indian,EH3
31539,True,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,,False,,False,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",False,True,True,,False,True,{},average,,,True,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",2.0,outdoor,False,True,True,True,no,Nq_BMV7kyx9_C3w0Jip6CA,"Pubs,Bars,Nightlife,British,Restaurants",Edinburgh,"30-34 Candlemaker Row
Old Town
Edinburgh EH1 2QE","{u'close': u'00:00', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'11:00'}","{u'close': u'00:00', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'12:30'}","{u'close': u'23:00', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'11:00'}",55.9468452,-3.1915004,Greyfriars Bobby's Bar,Old Town,True,53,3.5,EDH,business,British,EH1
31541,True,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,,False,,False,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'brunch': False, u'breakfast': False}",False,True,False,,False,True,{},loud,,,False,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",2.0,no,False,True,True,True,free,zpsDyx9wh7LYjtBLTpu_-w,"Pubs,Bars,Nightlife,British,Restaurants",Edinburgh,"1-5 W Register Street
New Town
Edinburgh EH2 2AA","{u'close': u'00:30', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'11:00'}","{u'close': u'00:30', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'12:30'}","{u'close': u'23:00', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'11:00'}","{u'close': u'23:00', u'open': u'11:00'}",55.9536723,-3.190509,Guildford Arms,New Town,True,44,4.0,EDH,business,British,EH2
31543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,-F1ktE7JM6vpIoF16CAyjQ,"Pubs,Bars,Nightlife,Restaurants",Edinburgh,"126-128 George Street
New Town
Edinburgh EH2 4JN",,,,,,,,55.9519813,-3.2053672,Ivory Lounge,New Town,False,4,4.0,EDH,business,Pubs,EH2
31544,True,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': True, u'upscale': False, u'casual': False}",casual,,,,False,False,,False,,False,False,"{u'dessert': False, u'latenight': True, u'lunch': False, u'dinner': False, u'brunch': False, u'breakfast': False}",False,True,False,,False,False,"{u'dj': False, u'background_music': True, u'jukebox': False, u'live': False, u'video': False, u'karaoke': False}",average,,,True,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",2.0,outdoor,False,True,True,True,free,QPsNlmETw14k-_RqX-RULw,"Bars,Pubs,Burgers,Cocktail Bars,Nightlife,Restaurants",Edinburgh,"54 George IV Bridge
Old Town
Old Town
Edinburgh EH1 1EJ","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:30'}","{u'close': u'01:00', u'open': u'12:30'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}",55.9479725,-3.1917893,Bar Kohl,Old Town,False,64,4.0,EDH,business,Pubs,EH1
31546,True,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': True, u'upscale': False, u'casual': False}",casual,,,,,False,,False,,,False,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",False,True,False,,False,False,"{u'dj': False, u'background_music': True, u'karaoke': False, u'live': False, u'video': False, u'jukebox': False}",average,,,False,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",2.0,no,False,True,True,True,free,rkk2gLhqB3P5lwaGeBiDqQ,"Burgers,Bars,Nightlife,Restaurants",Edinburgh,"49 George IV Bridge
Old Town
Old Town
Edinburgh EH1 1EJ","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}","{u'close': u'01:00', u'open': u'12:00'}",55.9479683,-3.1918097,Villager,Old Town,True,54,4.0,EDH,business,Burgers,EH1
31547,True,,,none,,casual,,,,,,,False,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,False,False,,,,,,,,False,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",1.0,,True,False,False,False,,AYobEbZ5JZ3WuEQaQnRXvQ,"Food,Coffee & Tea,Fast Food,Sandwiches,Restaurants",Edinburgh,"8 Forrest Road
Old Town
Edinburgh EH1 2QN","{u'close': u'17:00', u'open': u'11:00'}","{u'close': u'17:00', u'open': u'11:00'}","{u'close': u'17:00', u'open': u'11:00'}",,"{u'close': u'17:00', u'open': u'11:00'}","{u'close': u'17:00', u'open': u'11:00'}","{u'close': u'17:00', u'open': u'11:00'}",55.9457861,-3.1911241,Uncle T's,Old Town,False,4,5.0,EDH,business,Coffee & Tea,EH1
31548,True,,,beer_and_wine,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': True}",casual,,,,,,,False,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'brunch': True, u'breakfast': True}",,True,True,,,False,,quiet,,,False,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",3.0,,True,True,True,True,free,NLjG1EDhI2Aa71ZoLFqbQQ,"Delis,Italian,Restaurants",Edinburgh,"19 Elm Row
New Town
Edinburgh EH7 4AA","{u'close': u'18:00', u'open': u'08:00'}","{u'close': u'18:00', u'open': u'08:30'}","{u'close': u'18:00', u'open': u'08:00'}","{u'close': u'16:00', u'open': u'10:30'}","{u'close': u'18:00', u'open': u'08:30'}","{u'close': u'18:00', u'open': u'08:30'}","{u'close': u'18:00', u'open': u'08:30'}",55.9589243,-3.1832895,Valvona & Crolla,New Town,True,57,4.0,EDH,business,Italian,EH7
31557,True,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",dressy,,,,,,,True,,False,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,True,False,,,True,,quiet,,,True,"{u'garage': False, u'street': False, u'lot': True, u'valet': False}",2.0,,False,True,,False,free,Mpn6AsGRp_3q00Mzjt-pVA,"Hotels & Travel,Restaurants,Event Planning & Services,British,Hotels",Edinburgh,"34 Great King Street
New Town
Edinburgh EH3 6QH","{u'close': u'00:00', u'open': u'00:00'}","{u'close': u'00:00', u'open': u'00:00'}","{u'close': u'00:00', u'open': u'00:00'}","{u'close': u'00:00', u'open': u'00:00'}","{u'close': u'00:00', u'open': u'00:00'}","{u'close': u'00:00', u'open': u'00:00'}","{u'close': u'00:00', u'open': u'00:00'}",55.9578591,-3.1993316,The Howard,New Town,True,7,4.5,EDH,business,British,EH3
31558,True,,,beer_and_wine,"{u'romantic': False, u'intimate': False, u'classy': False, u'upscale': False, u'touristy': False, u'trendy': False, u'casual': False}",dressy,,,,,,,False,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,True,False,,,False,,quiet,,,False,,3.0,no,False,True,,False,no,r3QvCj1tsgASA90GBU3eVg,"British,Restaurants",Edinburgh,"54 St Stephen Street
Stockbridge
Edinburgh EH3 5AL","{u'close': u'21:30', u'open': u'19:00'}",,"{u'close': u'21:30', u'open': u'19:00'}","{u'close': u'21:30', u'open': u'19:00'}","{u'close': u'21:30', u'open': u'19:00'}","{u'close': u'21:30', u'open': u'19:00'}","{u'close': u'21:30', u'open': u'19:00'}",55.9578567,-3.2068459,The Stockbridge Restaurant,"Stockbridge,New Town",True,12,4.0,EDH,business,British,EH3
31559,,,,beer_and_wine,,casual,,,,,,,False,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,False,True,,,,,,,,,"{u'garage': False, u'validated': False, u'street': False, u'lot': False, u'valet': False}",2.0,,False,,,False,no,nqZXFkRTH_vsGvOzRVWI8g,"Vegetarian,Restaurants",Edinburgh,"51-53 W Nicolson St
Newington
Edinburgh EH8 9DB","{u'close': u'21:00', u'open': u'12:00'}","{u'close': u'20:00', u'open': u'12:00'}","{u'close': u'21:00', u'open': u'12:00'}","{u'close': u'20:00', u'open': u'13:00'}","{u'close': u'21:00', u'open': u'12:00'}","{u'close': u'21:00', u'open': u'12:00'}","{u'close': u'21:00', u'open': u'12:00'}",55.9444983,-3.1856957,Susie's Wholefood Diner,Newington,False,16,4.0,EDH,business,Vegetarian,EH8
31560,True,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': True}",casual,,,,False,,,False,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,True,True,,,False,,loud,,,False,"{u'garage': False, u'street': False, u'lot': False, u'valet': False}",2.0,,True,True,True,,no,u-JyVztsrx2f9sZKm5FvWQ,"American (Traditional),Restaurants",Edinburgh,"22-26 Castle Street
New Town
Edinburgh EH2 3HT","{u'close': u'23:30', u'open': u'12:00'}","{u'close': u'22:30', u'open': u'12:00'}",,"{u'close': u'23:00', u'open': u'12:00'}",,,,55.9518675,-3.2034169,TGI Fridays,New Town,True,36,3.5,EDH,business,American,EH2
31562,True,,,full_bar,,casual,,,,,,,False,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,True,,,,,,,,,False,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",3.0,,,True,True,,,-rwVxBOV0VNXB12of1N6hg,"Vegetarian,Restaurants",Edinburgh,"57-61 Blackfriars Street
Newington
Edinburgh EH1 1NB","{u'close': u'01:00', u'open': u'17:00'}","{u'close': u'01:00', u'open': u'17:00'}","{u'close': u'01:00', u'open': u'17:00'}","{u'close': u'01:00', u'open': u'17:00'}","{u'close': u'01:00', u'open': u'17:00'}","{u'close': u'01:00', u'open': u'17:00'}","{u'close': u'01:00', u'open': u'17:00'}",55.949658,-3.1856137,Black Bo's Restaurant,"Newington,Old Town",False,13,4.5,EDH,business,Vegetarian,EH1
31566,,,,none,,casual,,,,,,,False,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,True,True,,,False,,,,,False,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",2.0,,True,True,True,True,no,KSaSzOVyWSo4Ma0UkBd56A,"Restaurants,Brazilian",Edinburgh,"117-119 Buccleuch Street
Newington
Edinburgh EH8 9NG","{u'close': u'22:00', u'open': u'17:00'}","{u'close': u'22:00', u'open': u'17:00'}","{u'close': u'22:00', u'open': u'17:00'}",,"{u'close': u'22:00', u'open': u'17:00'}","{u'close': u'22:00', u'open': u'17:00'}","{u'close': u'22:00', u'open': u'17:00'}",55.9420022,-3.1837626,Brazilian Sensation,Newington,True,11,4.0,EDH,business,Brazilian,EH8
31568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VekKmagfcsfq0UOeX_7RPg,"Food,Coffee & Tea,Fast Food,Restaurants",Edinburgh,"58 Bernard Street
Leith
Edinburgh EH6 6PR",,,,,,,,55.9762736,-3.1692985,Loaded Sandwich Bar,Leith,True,4,4.0,EDH,business,Coffee & Tea,EH6
31572,True,,,beer_and_wine,,casual,,,,,,,False,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,True,,,,,,,,,False,"{u'garage': False, u'validated': False, u'street': False, u'lot': False, u'valet': False}",2.0,,False,True,True,True,no,UmOeVhicD3cTepEDC6p4jw,"British,Restaurants",Edinburgh,"41 West Nicolson Street
Newington
Edinburgh EH8 9DB","{u'close': u'22:00', u'open': u'06:00'}",,"{u'close': u'22:00', u'open': u'06:00'}",,"{u'close': u'22:00', u'open': u'06:00'}",,"{u'close': u'22:00', u'open': u'06:00'}",55.94462,-3.1854471,Home Bistro,Newington,False,5,4.0,EDH,business,British,EH8
31575,True,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'divey': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,False,,,False,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': True, u'breakfast': False, u'brunch': False}",,False,False,,,False,,quiet,,,False,"{u'garage': False, u'street': True, u'validated': False, u'lot': False, u'valet': False}",2.0,,False,True,True,True,no,WN2QUFWxIiTtUgW-oczrQg,"French,Restaurants",Edinburgh,"76 Thistle Street
New Town
New Town
Edinburgh EH2 1EN","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}",55.9537505,-3.2003325,Café Marlayne,New Town,True,30,4.5,EDH,business,French,EH2
31577,True,,,full_bar,,casual,,,,,,,,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,True,True,,,,,,,,False,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",2.0,,,True,True,True,,3JPBGbZ8cUreQqdEZmMqvQ,"Restaurants,Italian",Edinburgh,"95 Lothian Road
Old Town
Edinburgh EH3 9AW",,,,,,,,55.9464923,-3.205476,Lazio,Old Town,False,6,4.5,EDH,business,Italian,EH3
31578,True,,,beer_and_wine,"{u'romantic': False, u'intimate': False, u'classy': False, u'upscale': False, u'touristy': False, u'trendy': False, u'casual': False}",casual,,,,,,,False,,,,"{u'dessert': False, u'latenight': False, u'lunch': True, u'dinner': False, u'brunch': False, u'breakfast': False}",False,True,True,,False,False,,average,,,False,"{u'garage': False, u'street': False, u'validated': False, u'lot': False, u'valet': False}",2.0,,False,True,True,True,no,IImme8H_HNUNNbPeTQwT_Q,"Wine Bars,Bars,Nightlife,French,Restaurants",Edinburgh,"31 Jeffrey Street
Old Town
Edinburgh EH1 1DH","{u'close': u'22:00', u'open': u'18:00'}","{u'close': u'22:00', u'open': u'18:00'}","{u'close': u'22:00', u'open': u'18:00'}","{u'close': u'22:00', u'open': u'18:00'}","{u'close': u'22:00', u'open': u'18:00'}","{u'close': u'22:00', u'open': u'18:00'}","{u'close': u'22:00', u'open': u'18:00'}",55.9511950424,-3.18541108466,La Garrigue,"Old Town,Royal Mile",True,21,4.0,EDH,business,French,EH1
31579,True,,,full_bar,"{u'romantic': False, u'intimate': False, u'classy': False, u'hipster': False, u'touristy': False, u'trendy': False, u'upscale': False, u'casual': False}",casual,,,,,,,False,,,,"{u'dessert': False, u'latenight': False, u'lunch': False, u'dinner': False, u'breakfast': False, u'brunch': False}",,True,True,,,False,,loud,,,,"{u'garage': False, u'street': False, u'lot': False, u'valet': False}",2.0,,True,True,True,,,Yly8lmMDbqqznWJxpez2hA,"Restaurants,Italian",Edinburgh,"90 Hanover Street
New Town
Edinburgh EH2 1EL","{u'close': u'23:00', u'open': u'12:00'}","{u'close': u'23:00', u'open': u'12:00'}","{u'close': u'23:00', u'open': u'12:00'}","{u'close': u'22:00', u'open': u'12:00'}","{u'close': u'23:00', u'open': u'12:00'}","{u'close': u'23:00', u'open': u'12:00'}","{u'close': u'23:00', u'open': u'12:00'}",55.9541234,-3.1980248,La Rusticana,New Town,True,6,3.5,EDH,business,Italian,EH2
